Name,Quantity,Component
"U1",1," Arduino Uno R3"
"BAT1",1," 9V Battery"
"D1",1," Diode"
"Q1",1," TIP120"
"R1, R2",2,"1 kΩ Resistor"
"M1",1," DC Motor"
"D3",1,"Red LED"
